customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churned,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count
0002-ORFBO,2021-03-15,Refferal,2025-03-15,Standard,Annual,,,13.99,627,12,0,keshav,India,Maharashtra,Male,1982-04-12,,,,
0003-MKNFE,2020-08-01,Paid,2024-08-01,Premium,Annual,2024-09-10,Switched to competitor,12.99,1150,91,1,raghav,India,Karnataka,Male,1995-11-23,2024-08-28,Y,10.0,2.0
0004-TLHLJ,2022-11-20,Organic,2025-11-20,Basic,Monthly,,,6.99,210,34,0,lalita,India,Delhi,Female,1978-02-15,,,,
0011-IGKFF,2019-05-10,Paid,2025-05-10,Premium,Annual,,,22.99,1725,8,0,mohan,India,Nagaland,Male,2001-08-30,,,,
0013-EXCHZ,2023-01-05,Refferal,2024-01-05,Standard,Monthly,2024-02-28,Too expensive,13.99,195,88,1,mira,India,Delhi,Female,1990-05-05,2024-01-20,Y,20.0,1.0
0013-MHZWF,2022-06-18,Paid,2025-06-18,Standard,Annual,,,17.99,720,22,0,durga,India,Delhi,Female,1988-12-10,2025-03-18,N,90.0,1.0
0013-SMEOE,2021-09-30,Refferal,2024-09-30,Basic,Monthly,2024-11-15,Not enough content,8.99,230,79,1,mina,India,Meghalaya,Female,1976-09-21,2024-11-01,N,30.0,1.0
0014-BMAQU,2020-02-14,Organic,2025-02-14,Premium,Annual,,,22.99,1840,5,0,madan,India,Rajasthan,Male,1999-03-14,,,,
0015-UOCOJ,2023-07-22,Organic,2024-07-22,Standard,Monthly,,,13.99,240,34,0,maya,Nepal,Kathmandu,Female,1985-07-07,,,,
0016-QLJIS,2022-04-03,Organic,2025-04-03,Basic,Annual,,,6.99,335,41,0,arjun,Nepal,Kathmandu,Male,1993-10-29,,,,
0017-DINOC,2021-12-01,Organic,2025-12-01,Premium,Annual,,,22.99,1610,14,0,shiva,India,Maharashtra,Male,1997-01-22,,,,
0017-IUDMW,2023-03-17,Refferal,2024-03-17,Standard,Monthly,2024-05-01,Poor streaming quality,7.99,270,83,1,rangadevi,India,Karnataka,Female,1981-06-18,2024-04-10,Y,25.0,1.0
0018-NYROU,2020-10-09,Organic,2025-10-09,Standard,Annual,,,13.99,980,19,0,chitra,India,Telangana,Female,2004-12-01,,,,
0019-EFAEP,2022-08-25,Refferal,2024-08-25,Basic,Monthly,2024-10-31,Switched to competitor,12.99,160,76,1,raju,India,Meghalaya,Female,1992-04-25,2024-09-27,Y,30.0,1.0
0019-GFNTW,2019-11-11,Paid,2025-11-11,Premium,Annual,,,92.99,2185,3,0,Madhav,India,Uttar Pradesh,Male,1979-11-11,,,,
0020-INWCK,2023-05-06,Organic,2025-05-06,Standard,Monthly,,,13.99,640,58,0,parvati,India,Delhi,Female,1986-02-28,,,,
0020-JDNXP,2022-01-19,Organic,2024-01-19,Premium,Annual,,,20.99,550,62,0,rikim,India,Meghalaya,Female,1994-08-19,,,,
0021-IKXGC,2021-07-07,Paid,2025-07-07,Standard,Annual,,,13.99,840,27,0,vishakha,India,Rajasthan,Female,2000-09-02,,,,
0022-TCJCI,2023-09-14,Refferal,2024-09-14,Basic,Monthly,2024-09-14,Forgot to cancel trial,16.99,42,99,1,raghvendra,India,Telangana,Male,1983-12-30,2024-09-14,N,90.0,2.0
0023-HGHWL,2020-06-23,Organic,2025-06-23,Premium,Annual,,,22.99,1955,7,0,rishabh,India,Uttar Pradesh,Male,1991-05-14,,,,
0023-UYUPN,2022-12-31,Paid,2025-12-31,Standard,Monthly,,,13.99,790,47,0,sudevi,India,Maharashtra,Female,1977-10-06,,,,
NEW-0001,2024-07-03,Paid,2025-07-03,Standard,Annual,,,14.99,1156,30,0,Ankit Agarwal,India,West Bengal,Male,1980-01-07,,,,
NEW-0002,2022-12-31,Refferal,2023-01-31,Basic,Monthly,,,6.99,450,26,0,Ankit Bansal,India,Haryana,Female,1970-07-08,,,,
NEW-0003,2023-02-19,Organic,2023-03-21,Standard,Monthly,,,16.99,956,33,0,Sakshi Joshi,India,Rajasthan,Female,1990-07-09,2026-06-17,N,90.0,1.0
NEW-0004,2019-04-14,Organic,2020-04-13,Standard,Annual,,,14.99,1985,23,0,Riya Nair,India,Gujarat,Female,1993-07-14,,,,
NEW-0005,2024-02-15,Organic,2026-02-14,Premium,Annual,,,26.99,2164,33,0,Rohan Shah,India,Haryana,Female,1991-02-01,,,,
NEW-0006,2020-09-05,Organic,2021-09-06,Basic,Annual,2021-10-28,Too expensive,8.99,501,66,1,Manish Joshi,India,West Bengal,Female,2006-02-08,2026-04-18,Y,50.0,3.0
NEW-0007,2023-02-25,Refferal,2023-03-28,Premium,Monthly,,,24.99,2125,30,0,Pooja Kapoor,India,Rajasthan,Female,1978-03-19,,,,
NEW-0008,2021-03-25,Paid,2023-03-25,Standard,Annual,,,13.99,1416,34,0,Arjun Saini,India,Delhi,Male,1970-01-04,,,,
NEW-0009,2020-07-06,Refferal,2022-07-06,Standard,Annual,,,16.99,1537,24,0,Rohit Malhotra,India,Uttar Pradesh,Male,1970-03-26,,,,
NEW-0010,2023-08-15,Organic,2025-08-14,Standard,Annual,2025-10-04,Switched to competitor,14.99,1009,65,1,Shivam Kapoor,India,Rajasthan,Male,1988-09-27,,,,
NEW-0011,2024-01-18,Paid,2024-02-17,Basic,Monthly,,,6.99,458,38,0,Neha Yadav,India,Delhi,Female,1998-12-28,,,,
NEW-0012,2019-10-12,Paid,2019-11-09,Standard,Monthly,,,13.99,1466,35,0,Sameer Nair,India,Maharashtra,Male,1996-07-10,,,,
NEW-0013,2024-12-10,Organic,2025-12-10,Standard,Annual,,,14.99,1106,28,0,Ayush Verma,India,West Bengal,Male,1990-04-08,,,,
NEW-0014,2024-03-15,Organic,2024-04-14,Basic,Monthly,,,8.99,406,22,0,Ayush Patel,India,Rajasthan,Female,1993-11-28,,,,
NEW-0015,2021-08-05,Refferal,2022-08-06,Standard,Annual,,,13.99,1576,18,0,Meera Kapoor,India,Gujarat,Female,1975-05-22,,,,
NEW-0016,2020-03-25,Paid,2020-04-25,Standard,Monthly,2020-07-10,Switched to competitor,14.99,1012,79,1,Nisha Joshi,India,Maharashtra,Male,1985-10-15,,,,
NEW-0017,2021-01-29,Paid,2022-01-30,Standard,Annual,,,15.99,1628,4,0,Ansh Gupta,India,Rajasthan,Male,1989-07-24,,,,
NEW-0018,2021-11-18,Refferal,2022-11-18,Basic,Annual,,,6.99,592,32,0,Akshay Bansal,India,Uttar Pradesh,Male,1981-09-13,,,,
NEW-0019,2024-02-11,Organic,2025-02-11,Premium,Annual,,,28.99,2268,32,0,Aditi Bansal,India,Haryana,Male,2000-10-06,,,,
NEW-0020,2022-12-30,Organic,2023-12-30,Standard,Annual,,,16.99,1269,34,0,Shivam Saini,India,Punjab,Male,2000-10-17,,,,
NEW-0021,2021-03-19,Refferal,2021-04-16,Standard,Monthly,,,13.99,1296,33,0,Mohit Bansal,India,Haryana,Female,2004-06-12,,,,
NEW-0022,2023-03-25,Organic,2023-04-25,Basic,Monthly,,,8.99,427,21,0,Ankit Verma,India,Maharashtra,Female,1996-10-11,,,,
NEW-0023,2019-04-06,Organic,2019-05-07,Basic,Monthly,2019-09-07,Switched to competitor,7.99,508,81,1,Ansh Kumar,India,West Bengal,Male,1999-09-05,,,,
NEW-0024,2021-12-22,Refferal,2022-12-22,Basic,Annual,,,7.99,667,27,0,Ansh Das,India,Tamil Nadu,Male,2007-08-30,2022-01-29,N,70.0,1.0
NEW-0025,2022-11-08,Refferal,2022-12-08,Premium,Monthly,2023-04-05,Not enough content,26.99,1441,76,1,Harsh Shah,India,West Bengal,Male,2003-06-06,2026-06-01,Y,30.0,2.0
NEW-0026,2021-12-21,Paid,2022-01-18,Basic,Monthly,,,6.99,520,34,0,Aarav Chauhan,India,West Bengal,Female,2005-09-05,,,,
NEW-0027,2020-10-09,Paid,2020-11-06,Premium,Monthly,,,22.99,2585,29,0,Tanvi Arora,India,Rajasthan,Male,1987-08-23,,,,
NEW-0028,2023-01-03,Paid,2023-01-31,Basic,Monthly,,,8.99,515,32,0,Mohit Joshi,India,Rajasthan,Female,1971-11-13,2026-07-30,Y,60.0,1.0
NEW-0029,2020-04-22,Organic,2020-05-20,Basic,Monthly,2020-08-23,Too expensive,7.99,420,79,1,Pankaj Chauhan,India,West Bengal,Male,2002-05-21,,,,
NEW-0030,2021-12-11,Organic,2022-12-12,Basic,Annual,2023-04-13,Poor service,6.99,392,81,1,Shivam Nair,India,Karnataka,Male,1974-10-08,,,,
NEW-0031,2022-07-02,Refferal,2023-07-02,Basic,Annual,,,6.99,589,19,0,Rohan Jain,India,Uttar Pradesh,Female,1996-04-03,,,,
NEW-0032,2022-11-28,Organic,2022-12-29,Basic,Monthly,2023-04-06,Too expensive,8.99,322,67,1,Riya Joshi,India,Uttar Pradesh,Female,2002-06-21,2024-06-04,Y,40.0,3.0
NEW-0033,2019-03-30,Organic,2019-04-29,Basic,Monthly,,,8.99,573,24,0,Kavya Jain,India,Uttar Pradesh,Male,1995-03-07,,,,
NEW-0034,2019-02-13,Paid,2020-02-13,Basic,Annual,,,7.99,758,54,0,Vikas Rana,India,West Bengal,Male,1989-01-14,,,,
NEW-0035,2026-05-30,Paid,2027-05-30,Basic,Annual,,,7.99,402,20,0,Sneha Nair,India,Punjab,Female,2008-03-10,,,,
NEW-0036,2020-01-27,Paid,2020-02-24,Standard,Monthly,,,15.99,1524,22,0,Vivek Saini,India,West Bengal,Female,1997-12-09,,,,
NEW-0037,2020-03-18,Paid,2021-03-19,Standard,Annual,,,15.99,1542,23,0,Divya Nair,India,Maharashtra,Female,1973-10-12,,,,
NEW-0038,2022-09-01,Organic,2022-10-02,Basic,Monthly,,,6.99,481,30,0,Sakshi Kapoor,India,Karnataka,Female,1999-07-06,,,,
NEW-0039,2022-05-30,Paid,2022-06-29,Basic,Monthly,2022-07-16,Not enough content,6.99,362,76,1,Aditi Rana,India,Uttar Pradesh,Female,2007-07-11,,,,
NEW-0040,2024-06-26,Paid,2025-06-27,Premium,Annual,2025-08-13,Too expensive,26.99,1510,76,1,Riya Shah,India,West Bengal,Female,1991-08-25,2025-03-31,Y,40.0,1.0
NEW-0041,2024-10-05,Paid,2024-11-05,Basic,Monthly,2025-03-11,Too expensive,7.99,283,79,1,Rohan Patel,India,Haryana,Male,1971-04-19,2026-04-18,Y,40.0,2.0
NEW-0042,2026-06-23,Paid,2027-06-24,Standard,Annual,,,15.99,942,37,0,Bhavna Singh,India,Tamil Nadu,Male,2002-09-09,2026-07-13,Y,50.0,1.0
NEW-0043,2025-02-14,Paid,2025-03-14,Standard,Monthly,,,15.99,837,30,0,Naina Singh,India,Gujarat,Male,1978-05-15,,,,
NEW-0044,2020-01-23,Organic,2020-02-22,Standard,Monthly,,,15.99,1468,34,0,Rohit Yadav,India,Gujarat,Female,1976-12-14,,,,
NEW-0045,2024-07-18,Organic,2024-08-15,Premium,Monthly,,,26.99,1696,23,0,Aryan Kapoor,India,Karnataka,Male,1988-12-19,2025-10-08,N,80.0,1.0
NEW-0046,2020-04-19,Paid,2022-04-19,Basic,Annual,,,7.99,775,31,0,Tanya Mehta,India,Rajasthan,Female,1995-01-28,,,,
NEW-0047,2025-02-18,Organic,2026-02-19,Premium,Annual,,,26.99,2057,34,0,Tanvi Kumar,India,Haryana,Male,1979-02-18,2026-04-16,Y,80.0,1.0
NEW-0048,2026-02-05,Organic,2026-03-07,Basic,Monthly,2026-07-31,Too expensive,7.99,219,73,1,Naina Rana,India,Maharashtra,Male,2005-08-02,,,,
NEW-0049,2024-01-28,Organic,2024-02-27,Basic,Monthly,2024-08-11,Poor service,6.99,335,81,1,Rohit Kapoor,India,West Bengal,Male,2006-06-30,,,,
NEW-0050,2021-11-10,Organic,2021-12-11,Basic,Monthly,,,6.99,576,29,0,Shreya Rana,India,West Bengal,Male,1976-11-13,,,,
